0	0	9	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209
209	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	209	209
209	80	209	89	209	209	209	209	209	209	80	209	209	209	241	209	209	80	209	209
209	80	209	209	209	209	209	209	209	209	80	209	209	209	250	251	209	80	209	209
209	80	209	209	209	209	209	209	209	80	80	209	209	209	252	253	209	80	209	209
209	80	209	209	209	209	209	209	60	80	89	80	80	80	80	80	209	80	209	209
209	80	80	80	80	80	80	209	209	80	209	209	209	209	209	80	209	80	209	209
209	80	209	209	209	209	80	209	209	80	209	209	209	209	209	80	209	80	209	209
209	80	209	209	209	209	80	209	209	80	209	209	209	209	209	80	66	80	209	209
209	80	80	80	66	66	80	209	209	80	209	209	209	209	209	80	209	80	209	209
209	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	209	209
209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209	209
