0	1	8	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218
218	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	218	218
218	80	218	66	218	218	218	80	80	218	218	218	80	218	218	218	80	80	218	218
218	80	80	80	80	80	80	80	80	218	218	218	80	218	250	251	80	80	218	218
218	218	218	218	218	218	218	218	80	218	218	218	80	218	252	253	80	80	218	218
218	218	218	218	66	241	80	80	80	80	80	218	80	218	218	218	218	80	218	218
218	80	80	80	80	80	80	80	80	218	66	218	80	218	218	218	218	80	218	218
218	80	60	218	218	218	80	218	218	218	218	218	80	218	218	218	218	80	218	218
218	80	218	218	218	218	80	218	218	218	218	218	80	255	218	218	218	80	218	218
218	80	218	218	218	218	80	218	218	218	218	218	80	80	80	80	80	80	218	218
218	80	80	80	80	80	80	218	218	218	218	80	80	80	80	80	80	80	218	218
218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218
